* KOAN 2951 3-way demo — midrange 60° horizontal, mic 1 m
* Source file = mid hor 60.pir
* Impulse length = 65536
* Sample rate = 48000
* Scale type = Pa
* Left window = 0 ms, Rectangular
* Reference time = 2,5 ms
* Right window = 5,021 ms, Tukey 0.25
* FFT length = 32768
* Smoothing = None
* Calibration = MM1CDU_allein_00d.txt
* Scale = 0.0 dB
* source: mid hor 60.txt (ARTA export, 13640 pts, 20.51–20000 Hz), resampled to a 500-pt log grid 20.5–20000 Hz (dB + unwrapped phase in log-f, then re-wrapped)
Freq[Hz]     dBSPL  Phase[Deg]
20.508  122.635  148.535
20.793  122.551  148.132
21.081  122.467  147.729
21.374  122.384  147.325
21.671  122.300  146.922
21.972  122.216  146.519
22.277  122.146  146.096
22.587  122.076  145.674
22.900  122.006  145.251
23.218  121.937  144.829
23.541  121.871  144.400
23.868  121.813  143.960
24.199  121.755  143.519
24.535  121.697  143.078
24.876  121.639  142.637
25.222  121.593  142.180
25.572  121.547  141.722
25.927  121.501  141.264
26.287  121.455  140.806
26.652  121.418  140.336
27.022  121.384  139.862
27.398  121.350  139.388
27.778  121.316  138.914
28.164  121.289  138.427
28.555  121.262  137.938
28.952  121.236  137.449
29.354  121.211  136.958
29.761  121.193  136.455
30.175  121.175  135.952
30.594  121.157  135.449
31.019  121.144  134.939
31.450  121.134  134.423
31.886  121.125  133.907
32.329  121.116  133.388
32.778  121.114  132.860
33.233  121.111  132.333
33.695  121.109  131.805
34.163  121.113  131.266
34.637  121.117  130.726
35.119  121.121  130.187
35.606  121.130  129.638
36.101  121.140  129.088
36.602  121.151  128.539
37.111  121.166  127.979
37.626  121.181  127.419
38.148  121.196  126.858
38.678  121.217  126.290
39.216  121.237  125.721
39.760  121.259  125.149
40.312  121.284  124.572
40.872  121.309  123.995
41.440  121.336  123.411
42.015  121.364  122.826
42.599  121.393  122.239
43.191  121.427  121.646
43.790  121.461  121.053
44.399  121.498  120.455
45.015  121.535  119.855
45.640  121.573  119.252
46.274  121.613  118.646
46.917  121.653  118.038
47.569  121.699  117.425
48.229  121.744  116.812
48.899  121.792  116.194
49.578  121.841  115.575
50.267  121.890  114.952
50.965  121.940  114.327
51.673  121.992  113.699
52.390  122.044  113.069
53.118  122.098  112.436
53.856  122.153  111.800
54.604  122.209  111.162
55.362  122.266  110.522
56.131  122.326  109.878
56.911  122.386  109.232
57.701  122.448  108.584
58.502  122.511  107.934
59.315  122.574  107.279
60.139  122.638  106.624
60.974  122.704  105.965
61.821  122.769  105.304
62.679  122.836  104.640
63.550  122.905  103.973
64.432  122.974  103.306
65.327  123.046  102.634
66.235  123.117  101.960
67.154  123.189  101.283
68.087  123.262  100.603
69.033  123.335  99.922
69.992  123.409  99.237
70.964  123.485  98.549
71.949  123.563  97.859
72.948  123.641  97.166
73.962  123.720  96.470
74.989  123.799  95.771
76.030  123.879  95.070
77.086  123.960  94.364
78.157  124.041  93.656
79.242  124.123  92.946
80.343  124.207  92.232
81.459  124.292  91.514
82.590  124.377  90.793
83.737  124.463  90.070
84.900  124.550  89.343
86.079  124.637  88.611
87.275  124.724  87.877
88.487  124.811  87.139
89.716  124.899  86.397
90.962  124.988  85.651
92.225  125.076  84.902
93.506  125.165  84.149
94.805  125.253  83.391
96.121  125.341  82.629
97.456  125.429  81.862
98.810  125.518  81.092
100.182  125.610  80.317
101.573  125.707  79.537
102.984  125.808  78.753
104.414  125.909  77.964
105.865  126.008  77.169
107.335  126.104  76.370
108.826  126.198  75.566
110.337  126.292  74.756
111.869  126.387  73.941
113.423  126.483  73.121
114.998  126.580  72.295
116.596  126.677  71.462
118.215  126.774  70.625
119.857  126.873  69.781
121.521  126.974  68.931
123.209  127.077  68.075
124.920  127.176  67.212
126.655  127.266  66.342
128.414  127.346  65.466
130.198  127.423  64.583
132.006  127.500  63.693
133.839  127.574  62.796
135.698  127.647  61.891
137.583  127.719  60.980
139.494  127.789  60.061
141.431  127.865  59.133
143.395  127.951  58.199
145.387  128.039  57.256
147.406  128.128  56.305
149.453  128.218  55.347
151.529  128.312  54.379
153.633  128.408  53.404
155.767  128.504  52.420
157.930  128.599  51.427
160.124  128.692  50.426
162.348  128.783  49.415
164.603  128.873  48.396
166.889  128.963  47.367
169.206  129.056  46.330
171.556  129.151  45.283
173.939  129.245  44.227
176.355  129.338  43.162
178.804  129.427  42.087
181.287  129.514  41.003
183.805  129.598  39.909
186.358  129.682  38.806
188.946  129.761  37.694
191.570  129.836  36.572
194.231  129.908  35.440
196.929  129.980  34.300
199.664  130.048  33.149
202.437  130.116  31.990
205.248  130.182  30.821
208.099  130.246  29.643
210.989  130.308  28.457
213.919  130.369  27.262
216.890  130.428  26.058
219.903  130.484  24.845
222.957  130.538  23.625
226.053  130.592  22.397
229.193  130.645  21.161
232.376  130.695  19.918
235.603  130.743  18.669
238.875  130.784  17.413
242.193  130.820  16.152
245.557  130.853  14.885
248.967  130.884  13.614
252.425  130.908  12.338
255.931  130.927  11.058
259.485  130.942  9.776
263.089  130.954  8.492
266.743  130.969  7.207
270.448  130.987  5.921
274.204  131.005  4.636
278.012  131.020  3.352
281.873  131.034  2.071
285.788  131.051  0.794
289.757  131.067  -0.478
293.781  131.079  -1.745
297.861  131.089  -3.004
301.998  131.094  -4.254
306.193  131.096  -5.494
310.445  131.096  -6.722
314.757  131.092  -7.938
319.128  131.082  -9.139
323.560  131.068  -10.324
328.054  131.050  -11.492
332.610  131.032  -12.642
337.230  131.012  -13.772
341.913  130.991  -14.880
346.662  130.969  -15.967
351.477  130.946  -17.030
356.358  130.924  -18.071
361.307  130.903  -19.087
366.325  130.882  -20.079
371.413  130.863  -21.047
376.571  130.845  -21.993
381.801  130.828  -22.916
387.104  130.814  -23.819
392.480  130.803  -24.704
397.931  130.797  -25.573
403.458  130.798  -26.429
409.061  130.805  -27.277
414.743  130.816  -28.120
420.503  130.833  -28.964
426.343  130.857  -29.814
432.264  130.887  -30.674
438.268  130.923  -31.550
444.354  130.965  -32.448
450.526  131.015  -33.376
456.783  131.071  -34.337
463.127  131.132  -35.337
469.559  131.199  -36.382
476.081  131.265  -37.475
482.693  131.332  -38.622
489.396  131.400  -39.825
496.193  131.470  -41.088
503.085  131.539  -42.411
510.072  131.607  -43.795
517.156  131.673  -45.242
524.338  131.735  -46.750
531.621  131.796  -48.317
539.004  131.858  -49.943
546.490  131.915  -51.622
554.080  131.964  -53.352
561.775  132.007  -55.126
569.577  132.044  -56.941
577.488  132.072  -58.788
585.508  132.090  -60.660
593.640  132.099  -62.550
601.885  132.099  -64.448
610.244  132.089  -66.344
618.720  132.068  -68.228
627.313  132.039  -70.088
636.025  132.001  -71.913
644.858  131.957  -73.690
653.815  131.906  -75.408
662.895  131.848  -77.055
672.102  131.785  -78.622
681.436  131.718  -80.098
690.900  131.653  -81.478
700.496  131.594  -82.761
710.225  131.542  -83.950
720.088  131.498  -85.052
730.089  131.471  -86.085
740.229  131.464  -87.070
750.510  131.482  -88.037
760.933  131.529  -89.020
771.501  131.600  -90.057
782.216  131.697  -91.186
793.080  131.815  -92.444
804.095  131.951  -93.863
815.263  132.098  -95.467
826.585  132.255  -97.275
838.065  132.413  -99.294
849.705  132.566  -101.528
861.506  132.710  -103.967
873.471  132.839  -106.599
885.602  132.949  -109.404
897.902  133.039  -112.355
910.372  133.106  -115.425
923.016  133.144  -118.579
935.835  133.152  -121.783
948.832  133.128  -124.996
962.010  133.076  -128.178
975.371  132.993  -131.286
988.917  132.886  -134.281
1002.652  132.756  -137.123
1016.577  132.612  -139.781
1030.696  132.462  -142.234
1045.011  132.314  -144.474
1059.524  132.179  -146.516
1074.239  132.066  -148.397
1089.159  131.981  -150.172
1104.286  131.930  -151.914
1119.623  131.915  -153.707
1135.172  131.927  -155.623
1150.938  131.960  -157.723
1166.923  132.003  -160.039
1183.130  132.047  -162.579
1199.562  132.079  -165.322
1216.222  132.090  -168.228
1233.113  132.075  -171.234
1250.239  132.031  -174.272
1267.603  131.955  -177.267
1285.208  131.853  179.849
1303.058  131.736  177.132
1321.155  131.618  174.612
1339.504  131.511  172.287
1358.108  131.424  170.118
1376.970  131.374  168.029
1396.094  131.363  165.922
1415.483  131.389  163.695
1435.142  131.444  161.261
1455.074  131.515  158.572
1475.283  131.587  155.615
1495.772  131.647  152.420
1516.546  131.686  149.043
1537.609  131.697  145.560
1558.964  131.683  142.052
1580.615  131.649  138.590
1602.567  131.605  135.229
1624.825  131.564  131.988
1647.391  131.536  128.852
1670.271  131.536  125.764
1693.468  131.571  122.635
1716.988  131.643  119.353
1740.834  131.743  115.808
1765.012  131.859  111.915
1789.525  131.973  107.618
1814.379  132.063  102.910
1839.578  132.111  97.834
1865.127  132.096  92.476
1891.030  132.006  86.975
1917.294  131.836  81.516
1943.922  131.581  76.323
1970.920  131.258  71.640
