* KOAN 2951 3-way demo — near-field, midrange cone
* Source file = mid near.pir
* Impulse length = 65536
* Sample rate = 48000
* Scale type = Pa
* Left window = 5,813 ms, Rectangular
* Reference time = 6,313 ms
* Right window = 1000 ms, Tukey 0.50
* FFT length = 65536
* Smoothing = None
* Calibration = MM1CDU_allein_00d.txt
* Scale = 0.0 dB
* source: mid near.txt (ARTA export, 31396 pts, 5.13–23000 Hz), resampled to a 250-pt log grid 10.0–2000 Hz (dB + unwrapped phase in log-f, then re-wrapped)
Freq[Hz]     dBSPL  Phase[Deg]
10.000  127.917  -48.246
10.215  128.830  -72.527
10.435  126.686  -92.308
10.659  123.877  -111.112
10.888  121.069  -129.917
11.123  119.022  -133.692
11.362  117.530  -126.549
11.606  116.037  -119.406
11.856  114.123  -103.715
12.111  111.859  -80.923
12.371  109.594  -58.131
12.637  110.830  -50.507
12.909  113.587  -49.474
13.187  116.324  -48.509
13.470  117.272  -53.786
13.760  118.219  -59.063
14.056  118.945  -60.448
14.358  119.423  -57.442
14.667  119.921  -54.984
14.982  120.745  -61.205
15.305  121.569  -67.427
15.634  122.252  -68.085
15.970  122.892  -67.048
16.313  123.434  -71.632
16.664  123.904  -80.284
17.023  124.040  -84.327
17.389  123.830  -83.591
17.763  124.020  -83.954
18.145  124.624  -85.457
18.535  125.184  -87.734
18.934  125.711  -90.589
19.341  126.003  -93.274
19.757  126.207  -95.897
20.182  126.568  -98.666
20.616  126.853  -100.870
21.059  126.886  -101.326
21.512  127.414  -102.159
21.975  128.275  -103.263
22.447  128.502  -108.108
22.930  128.751  -110.844
23.423  129.024  -111.136
23.927  129.493  -114.109
24.441  129.921  -116.733
24.967  130.279  -119.087
25.504  130.438  -122.297
26.052  130.707  -123.334
26.613  131.105  -124.476
27.185  131.596  -126.779
27.770  131.931  -129.846
28.367  132.152  -131.399
28.977  132.552  -132.961
29.600  132.962  -134.962
30.237  133.365  -137.092
30.887  133.873  -139.417
31.551  134.093  -144.276
32.230  134.016  -144.226
32.923  134.592  -145.494
33.631  134.932  -147.478
34.354  135.290  -149.603
35.093  135.628  -151.099
35.848  135.980  -153.120
36.619  136.356  -154.476
37.407  136.822  -156.377
38.211  137.173  -159.131
39.033  137.500  -160.634
39.872  137.898  -162.948
40.730  138.213  -164.848
41.606  138.561  -167.023
42.500  138.885  -168.152
43.415  139.328  -170.588
44.348  139.679  -172.457
45.302  140.059  -174.517
46.276  140.451  -176.944
47.271  140.719  -179.062
48.288  141.052  179.379
49.327  141.462  177.203
50.387  141.826  175.351
51.471  142.204  172.873
52.578  142.550  170.673
53.709  142.816  168.382
54.864  143.180  166.496
56.044  143.541  164.716
57.249  143.949  162.400
58.480  144.352  159.911
59.738  144.767  155.855
61.023  144.746  152.308
62.335  144.802  150.875
63.676  145.011  150.052
65.045  145.362  148.913
66.444  145.703  147.170
67.873  146.024  145.378
69.333  146.390  143.190
70.824  146.739  141.269
72.347  147.009  138.818
73.903  147.312  136.537
75.492  147.643  134.178
77.116  147.889  131.849
78.774  148.161  129.686
80.469  148.431  127.088
82.199  148.733  124.744
83.967  148.997  122.381
85.773  149.230  119.804
87.617  149.397  117.240
89.502  149.647  115.151
91.427  149.880  112.430
93.393  150.097  109.729
95.401  150.234  107.109
97.453  150.397  104.782
99.549  150.532  102.822
101.690  150.779  100.290
103.877  150.913  97.555
106.111  151.020  95.175
108.393  151.187  93.166
110.724  151.318  90.660
113.105  151.473  88.496
115.538  151.585  85.172
118.023  151.555  83.616
120.561  151.769  81.487
123.154  151.865  79.015
125.802  152.004  76.039
128.508  151.945  73.056
131.272  151.769  70.627
134.095  151.618  69.416
136.979  151.592  69.156
139.925  151.807  67.627
142.934  151.769  65.094
146.008  151.657  63.457
149.148  151.718  62.700
152.356  151.818  61.226
155.632  151.901  59.901
158.979  152.009  58.322
162.399  152.086  56.361
165.891  152.111  54.554
169.459  152.136  52.647
173.103  152.159  51.014
176.826  152.026  49.140
180.629  152.078  48.560
184.514  152.071  47.222
188.482  152.110  46.125
192.535  152.104  45.196
196.676  152.215  44.278
200.906  152.249  41.569
205.227  152.127  41.080
209.640  152.208  40.103
214.149  152.212  38.752
218.755  152.211  37.644
223.459  152.273  36.155
228.265  152.272  34.261
233.174  152.043  33.224
238.189  152.045  33.254
243.312  152.104  32.279
248.544  152.145  31.554
253.890  152.215  30.405
259.350  152.230  28.331
264.927  152.256  26.891
270.625  151.877  26.388
276.445  151.978  25.651
282.391  152.017  24.462
288.464  151.991  23.800
294.668  151.833  22.647
301.005  151.945  23.100
307.478  152.045  21.618
314.091  152.081  19.287
320.846  151.674  18.603
327.746  151.726  18.857
334.795  151.904  19.644
341.995  151.940  17.775
349.350  151.905  17.240
356.864  151.866  15.812
364.538  151.897  15.817
372.378  151.728  15.466
380.387  151.960  14.957
388.568  151.913  13.749
396.924  151.937  13.213
405.461  151.791  12.333
414.181  151.982  12.420
423.088  151.812  11.304
432.187  152.333  9.383
441.482  151.504  9.011
450.977  152.042  7.167
460.676  151.767  7.693
470.583  151.842  8.699
480.704  151.571  5.888
491.042  151.730  6.111
501.602  151.743  7.082
512.390  151.922  4.465
523.410  151.692  2.814
534.666  151.292  3.552
546.165  151.417  4.557
557.911  151.625  4.204
569.910  151.627  2.099
582.166  151.358  0.470
594.687  151.531  2.792
607.476  151.280  -0.526
620.541  151.370  -1.835
633.886  151.122  -0.147
647.519  151.702  -0.909
661.445  151.313  -3.614
675.670  151.060  -4.455
690.201  151.098  -1.627
705.045  151.213  -3.200
720.208  150.727  -3.184
735.697  150.995  2.168
751.519  151.455  2.991
767.682  151.608  -3.003
784.192  151.606  -4.125
801.057  151.683  -5.379
818.285  151.890  -6.731
835.883  151.347  -8.342
853.860  151.598  -6.736
872.223  151.275  -9.096
890.982  151.343  -6.941
910.144  151.368  -9.103
929.717  151.739  -10.007
949.712  151.270  -9.799
970.137  151.270  -13.080
991.001  151.276  -9.953
1012.314  151.033  -15.063
1034.085  151.197  -11.319
1056.325  151.171  -17.533
1079.042  151.074  -12.719
1102.249  151.415  -18.992
1125.954  151.202  -12.866
1150.169  150.785  -17.583
1174.905  150.556  -16.731
1200.173  150.972  -18.188
1225.985  150.991  -17.576
1252.351  150.658  -18.250
1279.285  150.992  -17.726
1306.798  151.253  -23.486
1334.902  151.177  -18.929
1363.611  150.456  -20.071
1392.937  150.720  -19.446
1422.894  150.486  -25.008
1453.496  151.056  -20.945
1484.755  150.391  -21.221
1516.687  150.604  -28.387
1549.305  150.794  -28.442
1582.625  150.368  -29.357
1616.662  150.101  -32.416
1651.430  149.580  -31.923
1686.947  149.544  -31.238
1723.227  149.525  -31.278
1760.287  149.180  -35.328
1798.144  149.203  -34.564
1836.816  148.563  -34.560
1876.319  148.318  -31.966
1916.672  147.802  -35.297
1957.893  147.067  -33.522
2000.000  147.095  -35.250
