* KOAN 2951 3-way demo — near-field, port mouth
* Source file = poort near.pir
* Impulse length = 65536
* Sample rate = 48000
* Scale type = Pa
* Left window = 5,813 ms, Rectangular
* Reference time = 6,313 ms
* Right window = 1000 ms, Tukey 0.50
* FFT length = 65536
* Smoothing = None
* Calibration = MM1CDU_allein_00d.txt
* Scale = 0.0 dB
* source: poort near.txt (ARTA export, 31396 pts, 5.13–23000 Hz), resampled to a 250-pt log grid 10.0–2000 Hz (dB + unwrapped phase in log-f, then re-wrapped)
Freq[Hz]     dBSPL  Phase[Deg]
10.000  140.899  115.182
10.215  141.583  109.003
10.435  141.557  105.179
10.659  141.376  101.866
10.888  141.195  98.553
11.123  141.425  95.925
11.362  141.952  93.794
11.606  142.480  91.664
11.856  142.909  88.154
12.111  143.257  83.498
12.371  143.606  78.841
12.637  143.911  74.614
12.909  144.198  70.573
13.187  144.485  66.533
13.470  144.782  62.548
13.760  145.079  58.563
14.056  145.400  54.220
14.358  145.748  49.474
14.667  146.086  44.732
14.982  146.256  40.045
15.305  146.426  35.357
15.634  146.628  30.909
15.970  146.840  26.533
16.313  147.042  22.300
16.664  147.237  18.169
17.023  147.473  13.754
17.389  147.752  9.045
17.763  147.961  4.214
18.145  148.098  -0.743
18.535  148.221  -5.461
18.934  148.334  -9.999
19.341  148.471  -14.393
19.757  148.617  -18.733
20.182  148.696  -23.482
20.616  148.790  -28.014
21.059  148.942  -31.830
21.512  149.061  -36.524
21.975  149.157  -41.803
22.447  149.150  -45.704
22.930  149.206  -49.613
23.423  149.336  -53.530
23.927  149.445  -58.700
24.441  149.403  -63.163
24.967  149.260  -66.897
25.504  149.379  -70.223
26.052  149.421  -73.702
26.613  149.503  -77.208
27.185  149.660  -80.795
27.770  149.759  -85.006
28.367  149.840  -88.831
28.977  149.887  -92.925
29.600  149.911  -96.499
30.237  150.015  -99.636
30.887  150.250  -103.641
31.551  150.275  -108.704
32.230  150.244  -112.229
32.923  150.195  -115.719
33.631  150.386  -118.113
34.354  150.637  -122.424
35.093  150.663  -127.403
35.848  150.652  -130.100
36.619  150.940  -134.528
37.407  150.872  -138.767
38.211  151.065  -142.132
39.033  151.185  -146.913
39.872  151.247  -151.145
