* KOAN 2951 3-way demo — tweeter 60° horizontal, mic 1 m
* Source file = tweeter hor 60.pir
* Impulse length = 65536
* Sample rate = 48000
* Scale type = Pa
* Left window = 0 ms, Rectangular
* Reference time = 2,5 ms
* Right window = 5,021 ms, Tukey 0.25
* FFT length = 32768
* Smoothing = None
* Calibration = MM1CDU_allein_00d.txt
* Scale = 0.0 dB
* source: tweeter hor 60.txt (ARTA export, 13640 pts, 20.51–20000 Hz), resampled to a 500-pt log grid 20.5–20000 Hz (dB + unwrapped phase in log-f, then re-wrapped)
Freq[Hz]     dBSPL  Phase[Deg]
20.508  92.794  155.738
20.793  92.691  155.426
21.081  92.589  155.113
21.374  92.486  154.801
21.671  92.384  154.489
21.972  92.281  154.177
22.277  92.190  153.850
22.587  92.099  153.523
22.900  92.008  153.196
23.218  91.917  152.870
23.541  91.829  152.539
23.868  91.748  152.198
24.199  91.667  151.858
24.535  91.585  151.518
24.876  91.504  151.178
25.222  91.432  150.827
25.572  91.360  150.475
25.927  91.288  150.123
26.287  91.216  149.772
26.652  91.151  149.411
27.022  91.088  149.049
27.398  91.025  148.686
27.778  90.962  148.324
28.164  90.904  147.954
28.555  90.846  147.582
28.952  90.788  147.210
29.354  90.732  146.838
29.761  90.679  146.459
30.175  90.627  146.079
30.594  90.575  145.700
31.019  90.526  145.317
31.450  90.479  144.932
31.886  90.432  144.547
32.329  90.386  144.160
32.778  90.344  143.770
33.233  90.301  143.381
33.695  90.259  142.991
34.163  90.220  142.598
34.637  90.181  142.205
35.119  90.142  141.813
35.606  90.105  141.419
36.101  90.069  141.025
36.602  90.032  140.631
37.111  89.998  140.237
37.626  89.963  139.844
38.148  89.929  139.450
38.678  89.897  139.059
39.216  89.865  138.668
39.760  89.833  138.278
40.312  89.801  137.891
40.872  89.770  137.504
41.440  89.738  137.122
42.015  89.706  136.742
42.599  89.675  136.363
43.191  89.646  135.991
43.790  89.616  135.618
44.399  89.587  135.254
45.015  89.557  134.892
45.640  89.527  134.535
46.274  89.496  134.187
46.917  89.466  133.839
47.569  89.437  133.506
48.229  89.408  133.173
48.899  89.378  132.855
49.578  89.348  132.540
50.267  89.316  132.239
50.965  89.284  131.945
51.673  89.250  131.665
52.390  89.215  131.394
53.118  89.180  131.138
53.856  89.144  130.895
54.604  89.108  130.668
55.362  89.070  130.456
56.131  89.032  130.264
56.911  88.993  130.086
57.701  88.953  129.936
58.502  88.913  129.796
59.315  88.869  129.693
60.139  88.826  129.600
60.974  88.780  129.550
61.821  88.733  129.517
62.679  88.684  129.518
63.550  88.635  129.555
64.432  88.586  129.612
65.327  88.536  129.729
66.235  88.485  129.872
67.154  88.432  130.059
68.087  88.378  130.300
69.033  88.324  130.575
69.992  88.270  130.913
70.964  88.217  131.307
71.949  88.164  131.745
72.948  88.113  132.258
73.962  88.063  132.838
74.989  88.014  133.473
76.030  87.968  134.181
77.086  87.926  134.980
78.157  87.888  135.846
79.242  87.854  136.781
80.343  87.828  137.811
81.459  87.811  138.929
82.590  87.801  140.123
83.737  87.800  141.394
84.900  87.811  142.749
86.079  87.836  144.197
87.275  87.875  145.714
88.487  87.929  147.296
89.716  88.000  148.939
90.962  88.088  150.636
92.225  88.196  152.378
93.506  88.326  154.154
94.805  88.477  155.947
96.121  88.647  157.746
97.456  88.838  159.537
98.810  89.050  161.306
100.182  89.287  163.041
101.573  89.549  164.729
102.984  89.833  166.359
104.414  90.135  167.922
105.865  90.452  169.407
107.335  90.780  170.808
108.826  91.121  172.118
110.337  91.473  173.336
111.869  91.836  174.457
113.423  92.209  175.482
114.998  92.591  176.408
116.596  92.979  177.239
118.215  93.372  177.975
119.857  93.772  178.617
121.521  94.176  179.170
123.209  94.584  179.630
124.920  94.990  -179.997
126.655  95.388  -179.703
128.414  95.776  -179.486
130.198  96.161  -179.342
132.006  96.545  -179.273
133.839  96.926  -179.274
135.698  97.303  -179.339
137.583  97.676  -179.462
139.494  98.047  -179.650
141.431  98.422  -179.894
143.395  98.803  179.812
145.387  99.186  179.463
147.406  99.565  179.066
149.453  99.943  178.625
151.529  100.324  178.135
153.633  100.703  177.606
155.767  101.079  177.033
157.930  101.451  176.424
160.124  101.819  175.776
162.348  102.183  175.094
164.603  102.542  174.377
166.889  102.898  173.629
169.206  103.255  172.847
171.556  103.610  172.038
173.939  103.963  171.199
176.355  104.311  170.333
178.804  104.654  169.441
181.287  104.991  168.523
183.805  105.322  167.580
186.358  105.652  166.616
188.946  105.974  165.629
191.570  106.289  164.620
194.231  106.599  163.591
196.929  106.906  162.544
199.664  107.208  161.478
202.437  107.507  160.395
205.248  107.802  159.296
208.099  108.092  158.181
210.989  108.379  157.052
213.919  108.662  155.909
216.890  108.941  154.754
219.903  109.216  153.586
222.957  109.487  152.408
226.053  109.756  151.222
229.193  110.021  150.027
232.376  110.283  148.825
235.603  110.540  147.616
238.875  110.790  146.403
242.193  111.032  145.186
245.557  111.271  143.966
248.967  111.506  142.746
252.425  111.734  141.525
255.931  111.954  140.307
259.485  112.171  139.091
263.089  112.384  137.881
266.743  112.598  136.676
270.448  112.816  135.478
274.204  113.034  134.290
278.012  113.248  133.112
281.873  113.461  131.947
285.788  113.679  130.795
289.757  113.895  129.658
293.781  114.110  128.538
297.861  114.323  127.434
301.998  114.532  126.350
306.193  114.740  125.286
310.445  114.948  124.242
314.757  115.156  123.219
319.128  115.360  122.218
323.560  115.562  121.237
328.054  115.766  120.277
332.610  115.972  119.337
337.230  116.181  118.415
341.913  116.394  117.510
346.662  116.610  116.618
351.477  116.830  115.738
356.358  117.056  114.865
361.307  117.287  113.995
366.325  117.523  113.125
371.413  117.767  112.249
376.571  118.015  111.363
381.801  118.268  110.459
387.104  118.527  109.532
392.480  118.793  108.577
397.931  119.065  107.590
403.458  119.345  106.562
409.061  119.630  105.490
414.743  119.920  104.368
420.503  120.213  103.194
426.343  120.511  101.961
432.264  120.810  100.668
438.268  121.111  99.312
444.354  121.413  97.891
450.526  121.717  96.406
456.783  122.020  94.856
463.127  122.322  93.242
469.559  122.621  91.564
476.081  122.913  89.825
482.693  123.197  88.028
489.396  123.477  86.176
496.193  123.750  84.274
503.085  124.016  82.325
510.072  124.274  80.335
517.156  124.525  78.309
524.338  124.770  76.253
531.621  125.008  74.172
539.004  125.244  72.073
546.490  125.474  69.961
554.080  125.698  67.844
561.775  125.915  65.726
569.577  126.129  63.614
577.488  126.339  61.512
585.508  126.544  59.424
593.640  126.748  57.352
601.885  126.952  55.298
610.244  127.157  53.261
618.720  127.364  51.241
627.313  127.574  49.230
636.025  127.791  47.224
644.858  128.016  45.213
653.815  128.248  43.186
662.895  128.487  41.131
672.102  128.732  39.034
681.436  128.981  36.880
690.900  129.237  34.655
700.496  129.497  32.346
710.225  129.761  29.940
720.088  130.020  27.427
730.089  130.279  24.798
740.229  130.534  22.051
750.510  130.784  19.182
760.933  131.030  16.194
771.501  131.265  13.092
782.216  131.486  9.883
793.080  131.691  6.577
804.095  131.874  3.191
815.263  132.038  -0.261
826.585  132.180  -3.761
838.065  132.299  -7.287
849.705  132.392  -10.817
861.506  132.462  -14.326
873.471  132.508  -17.790
885.602  132.534  -21.184
897.902  132.544  -24.481
910.372  132.542  -27.662
923.016  132.528  -30.706
935.835  132.506  -33.600
948.832  132.485  -36.339
962.010  132.468  -38.927
975.371  132.462  -41.377
988.917  132.470  -43.714
1002.652  132.497  -45.972
1016.577  132.545  -48.191
1030.696  132.613  -50.412
1045.011  132.700  -52.671
1059.524  132.801  -54.998
1074.239  132.911  -57.410
1089.159  133.026  -59.910
1104.286  133.143  -62.494
1119.623  133.258  -65.142
1135.172  133.368  -67.832
1150.938  133.474  -70.540
1166.923  133.579  -73.245
1183.130  133.687  -75.935
1199.562  133.801  -78.610
1216.222  133.926  -81.283
1233.113  134.066  -83.982
1250.239  134.220  -86.744
1267.603  134.386  -89.606
1285.208  134.557  -92.604
1303.058  134.734  -95.759
1321.155  134.908  -99.077
1339.504  135.071  -102.544
1358.108  135.217  -106.129
1376.970  135.347  -109.792
1396.094  135.460  -113.484
1415.483  135.558  -117.161
1435.142  135.649  -120.793
1455.074  135.740  -124.373
1475.283  135.841  -127.920
1495.772  135.955  -131.482
1516.546  136.085  -135.125
1537.609  136.226  -138.916
1558.964  136.372  -142.908
1580.615  136.508  -147.123
1602.567  136.624  -151.536
1624.825  136.705  -156.083
1647.391  136.745  -160.657
1670.271  136.743  -165.132
1693.468  136.710  -169.373
1716.988  136.668  -173.278
1740.834  136.643  -176.810
1765.012  136.668  179.958
1789.525  136.767  176.839
1814.379  136.948  173.566
1839.578  137.195  169.879
1865.127  137.475  165.608
1891.030  137.750  160.718
1917.294  137.985  155.307
1943.922  138.151  149.565
1970.920  138.240  143.728
1998.293  138.263  138.033
2026.046  138.250  132.655
2054.185  138.235  127.649
2082.715  138.258  122.905
2111.640  138.342  118.170
2140.968  138.485  113.147
2170.702  138.646  107.631
2200.850  138.775  101.603
2231.417  138.833  95.241
2262.408  138.800  88.856
2293.829  138.686  82.808
2325.687  138.536  77.379
2357.987  138.418  72.625
2390.736  138.390  68.283
2423.939  138.477  63.834
2457.604  138.657  58.775
2491.736  138.856  52.871
2526.343  139.004  46.211
2561.430  139.050  39.091
2597.004  138.993  31.863
2633.073  138.848  24.824
2669.642  138.644  18.163
2706.719  138.413  11.956
2744.311  138.184  6.199
2782.425  137.987  0.838
2821.069  137.846  -4.242
2860.249  137.780  -9.232
2899.974  137.784  -14.361
2940.250  137.832  -19.787
2981.086  137.898  -25.511
3022.488  137.971  -31.436
3064.466  138.062  -37.505
3107.027  138.188  -43.816
3150.179  138.341  -50.581
3193.930  138.483  -57.953
3238.288  138.566  -65.895
3283.263  138.555  -74.180
3328.863  138.431  -82.438
3375.096  138.202  -90.205
3421.970  137.937  -97.031
3469.496  137.774  -102.857
3517.682  137.842  -108.516
3566.537  138.102  -115.420
3616.071  138.343  -124.291
3666.293  138.357  -134.483
3717.212  138.079  -144.465
3768.838  137.665  -152.866
3821.182  137.393  -159.771
3874.252  137.359  -166.920
3928.059  137.353  -175.508
3982.614  137.155  175.309
4037.927  136.795  167.259
4094.007  136.536  160.966
4150.867  136.578  155.077
4208.516  136.835  147.909
4266.966  137.100  139.095
