* KOAN 2951 3-way demo — near-field, lower woofer cone
* Source file = woofer down near.pir
* Impulse length = 65536
* Sample rate = 48000
* Scale type = Pa
* Left window = 5,813 ms, Rectangular
* Reference time = 6,313 ms
* Right window = 1000 ms, Tukey 0.50
* FFT length = 65536
* Smoothing = None
* Calibration = MM1CDU_allein_00d.txt
* Scale = 0.0 dB
* source: woofer down near.txt (ARTA export, 31396 pts, 5.13–23000 Hz), resampled to a 250-pt log grid 10.0–2000 Hz (dB + unwrapped phase in log-f, then re-wrapped)
Freq[Hz]     dBSPL  Phase[Deg]
10.000  128.059  -37.350
10.215  129.264  -42.063
10.435  129.755  -49.678
10.659  130.091  -57.924
10.888  130.427  -66.169
11.123  130.464  -71.575
11.362  130.283  -74.920
11.606  130.103  -78.265
11.856  130.221  -82.183
12.111  130.588  -86.578
12.371  130.954  -90.972
12.637  131.082  -94.407
12.909  131.105  -97.426
13.187  131.134  -100.462
13.470  131.565  -105.040
13.760  131.997  -109.619
14.056  132.197  -114.148
14.358  132.135  -118.622
14.667  132.091  -123.025
14.982  132.340  -126.312
15.305  132.590  -129.599
15.634  132.730  -134.144
15.970  132.838  -139.073
16.313  132.873  -143.561
16.664  132.855  -147.730
17.023  132.846  -151.745
17.389  132.847  -155.602
17.763  132.823  -159.310
18.145  132.776  -162.861
18.535  132.778  -166.551
18.934  132.819  -170.344
19.341  132.737  -174.198
19.757  132.609  -178.074
20.182  132.467  177.798
20.616  132.265  174.123
21.059  131.882  171.868
21.512  131.703  169.490
21.975  131.659  167.026
22.447  131.237  163.998
22.930  130.837  163.084
23.423  130.462  164.619
23.927  131.006  163.114
24.441  131.036  159.853
24.967  130.614  155.513
25.504  130.482  154.260
26.052  129.780  152.829
26.613  129.282  152.860
27.185  129.172  154.494
27.770  128.439  154.036
28.367  128.152  160.120
28.977  128.346  162.889
29.600  128.303  165.421
30.237  128.201  171.174
30.887  129.117  177.885
31.551  130.521  176.227
32.230  130.233  171.108
32.923  129.971  176.506
33.631  130.479  -176.738
34.354  131.785  -174.046
35.093  132.598  -174.357
35.848  133.401  -173.446
36.619  134.319  -174.069
37.407  135.126  -173.826
38.211  136.051  -175.605
39.033  136.887  -176.341
39.872  137.885  -178.572
40.730  138.711  178.065
41.606  139.388  174.794
42.500  140.159  172.525
43.415  140.844  167.945
44.348  141.391  164.976
45.302  142.115  161.838
46.276  142.772  157.284
47.271  143.309  153.109
48.288  143.857  148.692
49.327  144.403  143.945
50.387  144.810  138.939
51.471  145.202  133.733
52.578  145.475  128.572
53.709  145.647  123.274
54.864  145.651  119.712
56.044  146.024  116.273
57.249  146.346  111.850
58.480  146.710  106.826
59.738  146.912  100.050
61.023  146.779  93.154
62.335  146.519  86.036
63.676  145.371  83.984
65.045  145.276  84.208
66.444  145.186  83.753
67.873  145.382  82.821
69.333  145.547  80.658
70.824  145.654  77.907
72.347  145.734  75.074
73.903  145.741  72.251
75.492  145.703  69.320
77.116  145.639  66.989
78.774  145.602  64.855
80.469  145.561  63.085
82.199  145.621  61.032
83.967  145.678  58.610
85.773  145.696  55.895
87.617  145.579  53.150
89.502  145.491  50.478
91.427  145.353  47.678
93.393  144.879  45.124
95.401  144.674  45.635
97.453  144.608  45.240
99.549  144.708  44.545
101.690  144.754  42.789
103.877  144.570  40.074
106.111  144.391  39.438
108.393  144.267  39.225
110.724  144.165  38.309
113.105  144.002  38.233
115.538  143.930  39.798
118.023  144.416  39.340
120.561  144.248  37.102
123.154  143.877  39.492
125.802  144.962  45.061
128.508  146.034  37.156
131.272  145.959  30.809
134.095  145.528  25.214
136.979  145.004  25.775
139.925  145.218  24.523
142.934  145.116  19.436
146.008  144.066  16.387
149.148  143.791  20.642
152.356  143.953  21.569
155.632  144.066  21.010
158.979  144.013  21.214
162.399  144.264  19.677
165.891  144.216  18.824
169.459  144.376  17.838
173.103  144.453  15.920
176.826  143.986  13.694
180.629  144.103  15.499
184.514  144.375  13.444
188.482  144.043  11.798
192.535  144.314  11.671
196.676  144.358  9.031
200.906  143.790  2.290
205.227  142.695  8.272
209.640  143.376  10.089
214.149  143.114  6.210
218.755  142.698  14.302
223.459  143.904  15.433
228.265  144.137  8.584
233.174  144.258  7.206
238.189  143.736  7.005
243.312  143.847  8.480
248.544  143.923  4.078
253.890  143.665  6.519
259.350  143.864  5.221
264.927  143.157  3.267
270.625  143.976  5.428
276.445  144.114  4.654
282.391  143.891  0.841
288.464  144.596  2.395
294.668  143.970  -2.651
301.005  144.327  -2.924
307.478  143.598  -4.632
314.091  143.743  -2.838
320.846  144.040  -3.185
327.746  144.253  -4.461
334.795  144.484  -9.792
341.995  143.997  -11.402
349.350  142.455  -11.148
356.864  143.461  -8.768
364.538  143.333  -6.915
372.378  143.477  -7.685
380.387  143.929  -10.641
388.568  143.459  -11.933
396.924  143.103  -16.068
405.461  142.936  -9.506
414.181  143.648  -17.382
423.088  142.445  -13.526
432.187  142.556  -8.154
441.482  142.809  -4.949
450.977  143.982  -6.185
460.676  144.487  -10.269
470.583  144.047  -18.406
480.704  143.404  -15.650
491.042  143.807  -18.950
501.602  144.431  -15.035
512.390  143.558  -26.462
523.410  143.197  -20.476
534.666  143.336  -16.297
546.165  143.482  -21.982
557.911  144.574  -23.439
569.910  143.260  -22.797
582.166  143.861  -24.442
594.687  143.896  -22.425
607.476  144.577  -32.580
620.541  143.217  -23.409
633.886  143.756  -26.311
647.519  143.839  -26.090
661.445  144.329  -30.695
675.670  143.728  -27.523
690.201  143.975  -26.382
705.045  143.729  -29.413
720.208  143.680  -38.335
735.697  144.013  -36.045
751.519  143.862  -34.738
767.682  144.197  -42.953
784.192  143.566  -37.584
801.057  144.042  -39.830
818.285  144.487  -41.539
835.883  143.227  -48.227
853.860  143.720  -40.754
872.223  144.122  -51.791
890.982  143.051  -45.395
910.144  144.652  -50.962
929.717  142.773  -53.090
949.712  143.838  -53.715
970.137  143.468  -52.865
991.001  143.365  -59.214
1012.314  143.698  -55.443
1034.085  143.179  -66.559
1056.325  142.599  -53.041
1079.042  144.005  -61.719
