* Source file = mid+tweeter met hakkietakkiefilter.pir
* Impulse length = 65536
* Sample rate = 48000
* Scale type = Pa
* Left window = 0 ms, Rectangular
* Reference time = 2,5 ms
* Right window = 5,021 ms, Tukey 0.25
* FFT length = 32768
* Smoothing = None
* Calibration = MM1CDU_allein_00d.txt
* Scale = 0.0 dB
* (fixture: every 8th point of the ARTA export, KOAN test-filter session 15 Aug 2026)
Freq[Hz]     dBSPL  Phase[Deg]
30.76172   109.502   147.067
42.48047   109.932   137.229
54.19922   110.998   128.669
65.91797   112.242   120.993
77.63672   113.514   113.882
89.35547   114.761   107.110
101.0742   115.933   100.535
112.7930   117.069    94.073
124.5117   118.126    87.674
136.2305   118.968    81.314
147.9492   119.759    74.984
159.6680   120.568    68.681
171.3867   121.306    62.410
183.1055   121.985    56.180
194.8242   122.565    50.001
206.5430   123.066    43.883
218.2617   123.507    37.839
229.9805   123.896    31.884
241.6992   124.225    26.030
253.4180   124.486    20.292
265.1367   124.682    14.684
276.8555   124.879     9.222
288.5742   125.056     3.918
300.2930   125.209    -1.213
312.0117   125.325    -6.159
323.7305   125.402   -10.909
335.4492   125.452   -15.457
347.1680   125.486   -19.797
358.8867   125.512   -23.933
370.6055   125.534   -27.870
382.3242   125.557   -31.625
394.0430   125.586   -35.218
405.7617   125.631   -38.679
417.4805   125.697   -42.045
429.1992   125.783   -45.355
440.9180   125.891   -48.653
452.6367   126.023   -51.983
464.3555   126.178   -55.383
476.0742   126.348   -58.892
487.7930   126.524   -62.537
499.5117   126.711   -66.343
511.2305   126.902   -70.325
522.9492   127.096   -74.494
534.6680   127.293   -78.854
546.3867   127.493   -83.407
558.1055   127.687   -88.151
569.8242   127.872   -93.081
581.5430   128.046   -98.193
593.2617   128.206  -103.479
604.9805   128.353  -108.934
616.6992   128.482  -114.551
628.4180   128.592  -120.322
640.1367   128.687  -126.241
651.8555   128.763  -132.302
663.5742   128.815  -138.497
675.2930   128.841  -144.819
687.0117   128.840  -151.262
698.7305   128.814  -157.816
710.4492   128.760  -164.474
722.1680   128.673  -171.225
733.8867   128.558  -178.059
745.6055   128.414   175.038
757.3242   128.245   168.079
769.0430   128.047   161.081
780.7617   127.817   154.063
792.4805   127.555   147.049
804.1992   127.257   140.065
815.9180   126.925   133.143
827.6367   126.559   126.319
839.3555   126.157   119.639
851.0742   125.720   113.155
862.7930   125.249   106.928
874.5117   124.748   101.032
886.2305   124.223    95.548
897.9492   123.685    90.567
909.6680   123.150    86.183
921.3867   122.632    82.477
933.1055   122.161    79.500
944.8242   121.769    77.241
956.5430   121.495    75.595
968.2617   121.365    74.352
979.9805   121.394    73.221
991.6992   121.578    71.886
1003.418   121.891    70.087
1015.137   122.298    67.658
1026.855   122.763    64.541
1038.574   123.251    60.754
1050.293   123.736    56.369
1062.012   124.200    51.476
1073.730   124.627    46.173
1085.449   125.011    40.553
1097.168   125.345    34.702
1108.887   125.625    28.697
1120.605   125.849    22.611
1132.324   126.015    16.509
1144.043   126.123    10.455
1155.762   126.172     4.511
1167.480   126.165    -1.260
1179.199   126.103    -6.791
1190.918   125.988   -12.011
1202.637   125.827   -16.847
1214.355   125.627   -21.222
1226.074   125.400   -25.057
1237.793   125.162   -28.286
1249.512   124.934   -30.864
1261.230   124.744   -32.791
1272.949   124.615   -34.130
1284.668   124.579   -35.022
1296.387   124.653   -35.679
1308.105   124.841   -36.352
1319.824   125.132   -37.278
1331.543   125.504   -38.641
1343.262   125.925   -40.544
1354.980   126.368   -43.019
1366.699   126.810   -46.041
1378.418   127.230   -49.553
1390.137   127.615   -53.479
1401.855   127.953   -57.740
1413.574   128.237   -62.258
1425.293   128.464   -66.957
1437.012   128.630   -71.768
1448.730   128.732   -76.622
1460.449   128.771   -81.453
1472.168   128.747   -86.196
1483.887   128.659   -90.783
1495.605   128.510   -95.142
1507.324   128.303   -99.197
1519.043   128.042  -102.864
1530.762   127.737  -106.056
1542.480   127.399  -108.682
1554.199   127.047  -110.660
1565.918   126.703  -111.930
1577.637   126.399  -112.476
1589.355   126.167  -112.358
1601.074   126.038  -111.723
1612.793   126.035  -110.808
1624.512   126.162  -109.895
1636.230   126.407  -109.249
1647.949   126.744  -109.070
1659.668   127.141  -109.462
1671.387   127.568  -110.447
1683.105   127.998  -111.982
1694.824   128.415  -113.994
1706.543   128.803  -116.392
1718.262   129.154  -119.088
1729.980   129.465  -121.993
1741.699   129.735  -125.030
1753.418   129.965  -128.130
1765.137   130.156  -131.231
1776.855   130.314  -134.281
1788.574   130.444  -137.239
1800.293   130.552  -140.072
1812.012   130.645  -142.757
1823.730   130.731  -145.286
1835.449   130.819  -147.662
1847.168   130.914  -149.902
1858.887   131.023  -152.037
1870.605   131.152  -154.107
1882.324   131.302  -156.160
1894.043   131.474  -158.244
1905.762   131.667  -160.408
1917.480   131.875  -162.691
1929.199   132.093  -165.123
1940.918   132.314  -167.721
1952.637   132.532  -170.492
1964.355   132.741  -173.432
1976.074   132.935  -176.528
1987.793   133.109  -179.758
1999.512   133.258   176.903
2011.230   133.381   173.486
2022.949   133.474   170.023
2034.668   133.536   166.552
2046.387   133.565   163.110
2058.105   133.562   159.736
2069.824   133.528   156.469
2081.543   133.466   153.351
2093.262   133.379   150.419
2104.980   133.274   147.711
2116.699   133.156   145.257
2128.418   133.036   143.081
2140.137   132.922   141.193
2151.855   132.823   139.586
2163.574   132.751   138.236
2175.293   132.714   137.094
2187.012   132.721   136.091
2198.730   132.774   135.148
2210.449   132.875   134.176
