* Source file = mid ser 1,8mh parallel 6,8uf.pir
* Impulse length = 65536
* Sample rate = 48000
* Scale type = Pa
* Left window = 0 ms, Rectangular
* Reference time = 2,5 ms
* Right window = 5,021 ms, Tukey 0.25
* FFT length = 32768
* Smoothing = None
* Calibration = MM1CDU_allein_00d.txt
* Scale = 0.0 dB
* (fixture: every 8th point of the ARTA export, KOAN test-filter session 15 Aug 2026)
Freq[Hz]     dBSPL  Phase[Deg]
30.76172   123.000   134.837
42.48047   123.105   121.025
54.19922   123.790   109.024
65.91797   124.620    98.456
77.63672   125.465    88.969
89.35547   126.288    80.288
101.0742   127.047    72.206
112.7930   127.789    64.572
124.5117   128.474    57.281
136.2305   128.968    50.253
147.9492   129.435    43.433
159.6680   129.943    36.784
171.3867   130.403    30.277
183.1055   130.825    23.895
194.8242   131.165    17.628
206.5430   131.445    11.470
218.2617   131.679     5.420
229.9805   131.875    -0.519
241.6992   132.023    -6.340
253.4180   132.111   -12.035
265.1367   132.143   -17.594
276.8555   132.181   -23.002
288.5742   132.204   -28.247
300.2930   132.205   -33.311
312.0117   132.171   -38.180
323.7305   132.098   -42.836
335.4492   131.996   -47.265
347.1680   131.877   -51.454
358.8867   131.747   -55.393
370.6055   131.612   -59.078
382.3242   131.474   -62.513
394.0430   131.342   -65.710
405.7617   131.229   -68.691
417.4805   131.137   -71.489
429.1992   131.070   -74.148
440.9180   131.032   -76.715
452.6367   131.025   -79.246
464.3555   131.048   -81.791
476.0742   131.093   -84.400
487.7930   131.150   -87.112
499.5117   131.221   -89.955
511.2305   131.299   -92.948
522.9492   131.378   -96.100
534.6680   131.459   -99.408
546.3867   131.538  -102.863
558.1055   131.604  -106.450
569.8242   131.655  -110.151
581.5430   131.687  -113.942
593.2617   131.696  -117.799
604.9805   131.684  -121.698
616.6992   131.646  -125.610
628.4180   131.581  -129.510
640.1367   131.495  -133.369
651.8555   131.384  -137.160
663.5742   131.247  -140.855
675.2930   131.084  -144.425
687.0117   130.898  -147.844
698.7305   130.694  -151.083
710.4492   130.475  -154.121
722.1680   130.242  -156.934
733.8867   130.007  -159.510
745.6055   129.777  -161.841
757.3242   129.565  -163.931
769.0430   129.375  -165.796
780.7617   129.215  -167.468
792.4805   129.090  -168.993
804.1992   129.003  -170.429
815.9180   128.959  -171.841
827.6367   128.956  -173.298
839.3555   128.991  -174.862
851.0742   129.057  -176.587
862.7930   129.148  -178.513
874.5117   129.256   179.335
886.2305   129.373   176.945
897.9492   129.494   174.319
909.6680   129.613   171.469
921.3867   129.719   168.414
933.1055   129.807   165.176
944.8242   129.874   161.785
956.5430   129.918   158.268
968.2617   129.934   154.658
979.9805   129.922   150.985
991.6992   129.878   147.281
1003.418   129.804   143.577
1015.137   129.699   139.908
1026.855   129.564   136.305
1038.574   129.400   132.801
1050.293   129.209   129.429
1062.012   128.994   126.222
1073.730   128.759   123.208
1085.449   128.508   120.417
1097.168   128.250   117.869
1108.887   127.991   115.580
1120.605   127.739   113.552
1132.324   127.502   111.775
1144.043   127.290   110.224
1155.762   127.111   108.854
1167.480   126.970   107.607
1179.199   126.871   106.417
1190.918   126.814   105.210
1202.637   126.795   103.918
1214.355   126.808   102.486
1226.074   126.846   100.870
1237.793   126.900    99.047
1249.512   126.960    97.009
1261.230   127.019    94.762
1272.949   127.065    92.326
1284.668   127.096    89.727
1296.387   127.107    87.000
1308.105   127.095    84.182
1319.824   127.058    81.311
1331.543   126.994    78.430
1343.262   126.903    75.578
1354.980   126.785    72.797
1366.699   126.646    70.123
1378.418   126.489    67.594
1390.137   126.318    65.238
1401.855   126.140    63.081
1413.574   125.963    61.135
1425.293   125.795    59.405
1437.012   125.643    57.876
1448.730   125.517    56.520
1460.449   125.422    55.294
1472.168   125.364    54.141
1483.887   125.344    52.998
1495.605   125.361    51.799
1507.324   125.411    50.486
1519.043   125.488    49.012
1530.762   125.585    47.344
1542.480   125.694    45.466
1554.199   125.807    43.375
1565.918   125.918    41.081
1577.637   126.020    38.603
1589.355   126.108    35.966
1601.074   126.180    33.201
1612.793   126.231    30.340
1624.512   126.262    27.413
1636.230   126.271    24.454
1647.949   126.259    21.492
1659.668   126.227    18.555
1671.387   126.179    15.666
1683.105   126.116    12.847
1694.824   126.042    10.112
1706.543   125.962     7.472
1718.262   125.878     4.929
1729.980   125.794     2.480
1741.699   125.715     0.117
1753.418   125.644    -2.177
1765.137   125.582    -4.422
1776.855   125.531    -6.641
1788.574   125.491    -8.860
1800.293   125.462   -11.102
1812.012   125.442   -13.388
1823.730   125.428   -15.735
1835.449   125.417   -18.155
1847.168   125.407   -20.651
1858.887   125.394   -23.224
1870.605   125.375   -25.867
1882.324   125.347   -28.570
1894.043   125.310   -31.319
1905.762   125.262   -34.097
1917.480   125.200   -36.885
1929.199   125.125   -39.665
1940.918   125.037   -42.419
1952.637   124.937   -45.128
1964.355   124.826   -47.778
1976.074   124.706   -50.354
1987.793   124.580   -52.848
1999.512   124.451   -55.252
2011.230   124.321   -57.566
2022.949   124.194   -59.790
2034.668   124.071   -61.932
2046.387   123.955   -64.000
2058.105   123.847   -66.008
2069.824   123.749   -67.970
2081.543   123.661   -69.900
2093.262   123.583   -71.814
2104.980   123.517   -73.726
2116.699   123.460   -75.647
2128.418   123.413   -77.588
2140.137   123.374   -79.556
2151.855   123.342   -81.555
2163.574   123.313   -83.590
2175.293   123.289   -85.662
2187.012   123.266   -87.772
2198.730   123.246   -89.922
2210.449   123.226   -92.112
2222.168   123.206   -94.343
2233.887   123.185   -96.614
2245.605   123.161   -98.927
2257.324   123.135  -101.279
2269.043   123.105  -103.670
2280.762   123.069  -106.095
2292.480   123.025  -108.550
2304.199   122.973  -111.025
2315.918   122.912  -113.511
2327.637   122.839  -115.995
2339.355   122.756  -118.461
2351.074   122.660  -120.891
2362.793   122.553  -123.268
2374.512   122.436  -125.571
2386.230   122.310  -127.784
2397.949   122.177  -129.889
2409.668   122.044  -131.877
2421.387   121.915  -133.741
2433.105   121.795  -135.486
2444.824   121.690  -137.124
2456.543   121.604  -138.679
2468.262   121.541  -140.184
2479.980   121.502  -141.680
2491.699   121.488  -143.213
2503.418   121.497  -144.828
2515.137   121.525  -146.565
2526.855   121.567  -148.458
2538.574   121.614  -150.528
2550.293   121.663  -152.787
2562.012   121.706  -155.232
2573.730   121.736  -157.852
2585.449   121.748  -160.626
2597.168   121.735  -163.524
2608.887   121.695  -166.512
2620.605   121.622  -169.549
2632.324   121.516  -172.590
2644.043   121.376  -175.588
2655.762   121.202  -178.491
2667.480   120.996   178.753
2679.199   120.762   176.197
2690.918   120.505   173.894
2702.637   120.235   171.888
2714.355   119.962   170.214
2726.074   119.700   168.890
2737.793   119.462   167.905
2749.512   119.264   167.219
2761.230   119.120   166.755
2772.949   119.037   166.408
2784.668   119.020   166.052
2796.387   119.066   165.565
2808.105   119.164   164.839
2819.824   119.301   163.800
2831.543   119.461   162.406
2843.262   119.632   160.649
2854.980   119.797   158.547
2866.699   119.945   156.135
2878.418   120.068   153.463
2890.137   120.158   150.584
2901.855   120.211   147.556
2913.574   120.226   144.437
2925.293   120.200   141.284
2937.012   120.135   138.153
2948.730   120.032   135.098
2960.449   119.895   132.170
2972.168   119.729   129.415
2983.887   119.540   126.875
2995.605   119.337   124.581
3007.324   119.129   122.552
3019.043   118.926   120.793
3030.762   118.739   119.286
3042.480   118.579   117.994
3054.199   118.453   116.860
3065.918   118.366   115.809
3077.637   118.321   114.761
3089.355   118.313   113.639
3101.074   118.337   112.377
3112.793   118.384   110.927
3124.512   118.444   109.263
3136.230   118.507   107.380
3147.949   118.563   105.290
3159.668   118.606   103.020
3171.387   118.628   100.606
3183.105   118.625    98.090
3194.824   118.594    95.519
3206.543   118.535    92.940
3218.262   118.448    90.402
3229.980   118.335    87.950
3241.699   118.200    85.625
3253.418   118.048    83.466
3265.137   117.885    81.500
3276.855   117.719    79.748
3288.574   117.559    78.213
3300.293   117.412    76.886
3312.012   117.288    75.740
3323.730   117.193    74.732
3335.449   117.131    73.809
3347.168   117.105    72.906
3358.887   117.115    71.963
3370.605   117.155    70.922
3382.324   117.220    69.740
3394.043   117.304    68.385
3405.762   117.400    66.845
3417.480   117.500    65.116
3429.199   117.598    63.210
3440.918   117.690    61.145
3452.637   117.770    58.942
3464.355   117.836    56.630
3476.074   117.887    54.234
3487.793   117.921    51.780
3499.512   117.939    49.292
3511.230   117.940    46.793
3522.949   117.926    44.301
3534.668   117.897    41.831
3546.387   117.857    39.396
3558.105   117.806    37.005
3569.824   117.748    34.664
3581.543   117.682    32.376
3593.262   117.611    30.142
3604.980   117.537    27.962
3616.699   117.462    25.833
3628.418   117.387    23.752
3640.137   117.313    21.717
3651.855   117.240    19.722
3663.574   117.170    17.765
3675.293   117.103    15.841
3687.012   117.039    13.946
3698.730   116.979    12.076
3710.449   116.923    10.226
3722.168   116.873     8.391
3733.887   116.829     6.563
3745.605   116.791     4.735
3757.324   116.759     2.901
3769.043   116.731     1.051
3780.762   116.708    -0.821
3792.480   116.691    -2.722
3804.199   116.675    -4.658
3815.918   116.660    -6.631
3827.637   116.644    -8.641
3839.355   116.624   -10.686
3851.074   116.599   -12.761
3862.793   116.568   -14.856
3874.512   116.530   -16.961
3886.230   116.484   -19.063
3897.949   116.429   -21.146
3909.668   116.366   -23.194
3921.387   116.296   -25.193
3933.105   116.220   -27.126
3944.824   116.141   -28.983
3956.543   116.063   -30.753
3968.262   115.988   -32.433
3979.980   115.919   -34.024
3991.699   115.861   -35.534
4003.418   115.814   -36.976
4015.137   115.787   -38.370
4026.855   115.776   -39.743
4038.574   115.784   -41.121
4050.293   115.810   -42.533
4062.012   115.851   -44.005
4073.730   115.906   -45.561
4085.449   115.970   -47.218
4097.168   116.041   -48.987
4108.887   116.113   -50.871
4120.605   116.184   -52.869
4132.324   116.249   -54.972
4144.043   116.305   -57.167
4155.762   116.350   -59.438
4167.480   116.382   -61.766
4179.199   116.400   -64.130
4190.918   116.401   -66.508
4202.637   116.386   -68.880
4214.355   116.358   -71.225
4226.074   116.316   -73.525
4237.793   116.264   -75.763
4249.512   116.202   -77.927
4261.230   116.133   -80.007
4272.949   116.061   -81.998
4284.668   115.989   -83.899
4296.387   115.921   -85.714
4308.105   115.858   -87.451
4319.824   115.803   -89.121
4331.543   115.759   -90.740
4343.262   115.725   -92.325
4354.980   115.703   -93.893
4366.699   115.692   -95.460
4378.418   115.692   -97.042
4390.137   115.700   -98.651
4401.855   115.716  -100.297
4413.574   115.737  -101.984
4425.293   115.763  -103.716
4437.012   115.789  -105.492
4448.730   115.816  -107.309
4460.449   115.842  -109.160
4472.168   115.866  -111.041
4483.887   115.889  -112.944
4495.605   115.908  -114.862
4507.324   115.925  -116.787
4519.043   115.939  -118.715
4530.762   115.951  -120.640
4542.480   115.962  -122.558
4554.199   115.973  -124.467
4565.918   115.984  -126.366
4577.637   115.996  -128.254
4589.355   116.009  -130.134
4601.074   116.025  -132.008
4612.793   116.044  -133.878
4624.512   116.065  -135.748
4636.230   116.089  -137.621
4647.949   116.116  -139.501
4659.668   116.146  -141.393
4671.387   116.179  -143.299
4683.105   116.215  -145.222
4694.824   116.252  -147.165
4706.543   116.291  -149.129
4718.262   116.332  -151.115
4729.980   116.373  -153.126
4741.699   116.414  -155.160
4753.418   116.455  -157.217
4765.137   116.496  -159.296
4776.855   116.535  -161.397
4788.574   116.573  -163.517
4800.293   116.609  -165.654
4812.012   116.643  -167.807
4823.730   116.675  -169.972
4835.449   116.705  -172.147
4847.168   116.732  -174.331
4858.887   116.757  -176.520
