* Source file = mid no filter.pir
* Impulse length = 65536
* Sample rate = 48000
* Scale type = Pa
* Left window = 0 ms, Rectangular
* Reference time = 2,5 ms
* Right window = 5,021 ms, Tukey 0.25
* FFT length = 32768
* Smoothing = None
* Calibration = MM1CDU_allein_00d.txt
* Scale = 0.0 dB
* (fixture: every 8th point of the ARTA export, KOAN test-filter session 15 Aug 2026)
Freq[Hz]     dBSPL  Phase[Deg]
30.76172   122.366   136.353
42.48047   122.548   123.660
54.19922   123.292   112.964
65.91797   124.165   103.812
77.63672   125.040    95.810
89.35547   125.885    88.660
101.0742   126.662    82.147
112.7930   127.420    76.116
124.5117   128.124    70.455
136.2305   128.640    65.086
147.9492   129.136    59.949
159.6680   129.679    55.000
171.3867   130.182    50.207
183.1055   130.657    45.548
194.8242   131.060    41.005
206.5430   131.412    36.565
218.2617   131.730    32.222
229.9805   132.020    27.972
241.6992   132.273    23.812
253.4180   132.477    19.745
265.1367   132.635    15.773
276.8555   132.810    11.902
288.5742   132.979     8.140
300.2930   133.136     4.493
312.0117   133.264     0.972
323.7305   133.361    -2.416
335.4492   133.434    -5.661
347.1680   133.495    -8.757
358.8867   133.546   -11.697
370.6055   133.592   -14.479
382.3242   133.634   -17.107
394.0430   133.676   -19.586
405.7617   133.730   -21.930
417.4805   133.796   -24.159
429.1992   133.877   -26.298
440.9180   133.976   -28.378
452.6367   134.096   -30.434
464.3555   134.237   -32.501
476.0742   134.392   -34.614
487.7930   134.553   -36.805
499.5117   134.726   -39.100
511.2305   134.904   -41.520
522.9492   135.084   -44.076
534.6680   135.268   -46.774
546.3867   135.452   -49.614
558.1055   135.627   -52.589
569.8242   135.789   -55.686
581.5430   135.935   -58.889
593.2617   136.060   -62.180
604.9805   136.165   -65.537
616.6992   136.245   -68.936
628.4180   136.299   -72.351
640.1367   136.330   -75.757
651.8555   136.336   -79.124
663.5742   136.315   -82.424
675.2930   136.265   -85.627
687.0117   136.188   -88.703
698.7305   136.091   -91.622
710.4492   135.975   -94.357
722.1680   135.840   -96.882
733.8867   135.699   -99.178
745.6055   135.559  -101.230
757.3242   135.432  -103.038
769.0430   135.324  -104.612
780.7617   135.243  -105.979
792.4805   135.195  -107.183
804.1992   135.185  -108.280
815.9180   135.217  -109.340
827.6367   135.292  -110.433
839.3555   135.406  -111.630
851.0742   135.553  -112.989
862.7930   135.727  -114.555
874.5117   135.918  -116.359
886.2305   136.120  -118.413
897.9492   136.325  -120.716
909.6680   136.527  -123.257
921.3867   136.716  -126.016
933.1055   136.886  -128.968
944.8242   137.033  -132.083
956.5430   137.155  -135.330
968.2617   137.249  -138.676
979.9805   137.312  -142.090
991.6992   137.342  -145.538
1003.418   137.341  -148.986
1015.137   137.307  -152.401
1026.855   137.243  -155.749
1038.574   137.148  -158.998
1050.293   137.026  -162.113
1062.012   136.879  -165.063
1073.730   136.710  -167.815
1085.449   136.527  -170.344
1097.168   136.335  -172.627
1108.887   136.143  -174.650
1120.605   135.958  -176.411
1132.324   135.789  -177.923
1144.043   135.645  -179.213
1155.762   135.534   179.673
1167.480   135.463   178.675
1179.199   135.433   177.722
1190.918   135.445   176.741
1202.637   135.494   175.664
1214.355   135.575   174.436
1226.074   135.678   173.014
1237.793   135.796   171.377
1249.512   135.919   169.519
1261.230   136.038   167.449
1272.949   136.143   165.188
1284.668   136.230   162.765
1296.387   136.296   160.215
1308.105   136.338   157.577
1319.824   136.353   154.892
1331.543   136.339   152.202
1343.262   136.297   149.549
1354.980   136.228   146.975
1366.699   136.137   144.519
1378.418   136.027   142.216
1390.137   135.904   140.099
1401.855   135.775   138.191
