* Source file = tweeter filter 8,2uf serieeel 0,33mh parallel.pir
* Impulse length = 65536
* Sample rate = 48000
* Scale type = Pa
* Left window = 0 ms, Rectangular
* Reference time = 2,5 ms
* Right window = 5,021 ms, Tukey 0.25
* FFT length = 32768
* Smoothing = None
* Calibration = MM1CDU_allein_00d.txt
* Scale = 0.0 dB
* (fixture: every 8th point of the ARTA export, KOAN test-filter session 15 Aug 2026)
Freq[Hz]     dBSPL  Phase[Deg]
30.76172    95.363   -16.688
42.48047    94.143   -22.815
54.19922    93.352   -28.702
65.91797    92.620   -34.254
77.63672    91.852   -39.355
89.35547    91.024   -43.858
101.0742    90.113   -47.581
112.7930    89.185   -50.315
124.5117    88.239   -51.844
136.2305    87.203   -52.021
147.9492    86.326   -50.886
159.6680    85.763   -48.800
171.3867    85.479   -46.445
183.1055    85.470   -44.594
194.8242    85.626   -43.788
206.5430    85.880   -44.196
218.2617    86.178   -45.678
229.9805    86.483   -47.931
241.6992    86.768   -50.590
253.4180    87.028   -53.286
265.1367    87.289   -55.683
276.8555    87.655   -57.526
288.5742    88.158   -58.695
300.2930    88.844   -59.270
312.0117    89.738   -59.539
323.7305    90.839   -59.921
335.4492    92.124   -60.809
347.1680    93.545   -62.454
358.8867    95.043   -64.929
370.6055    96.567   -68.177
382.3242    98.077   -72.076
394.0430    99.549   -76.483
405.7617   100.976   -81.267
417.4805   102.347   -86.311
429.1992   103.659   -91.522
440.9180   104.911   -96.825
452.6367   106.108  -102.163
464.3555   107.254  -107.491
476.0742   108.347  -112.778
487.7930   109.387  -118.002
499.5117   110.388  -123.150
511.2305   111.351  -128.218
522.9492   112.285  -133.207
534.6680   113.199  -138.126
546.3867   114.099  -142.992
558.1055   114.982  -147.821
569.8242   115.852  -152.637
581.5430   116.710  -157.462
593.2617   117.555  -162.320
604.9805   118.389  -167.233
616.6992   119.210  -172.221
628.4180   120.014  -177.298
640.1367   120.804   177.523
651.8555   121.576   172.234
663.5742   122.324   166.832
675.2930   123.043   161.317
687.0117   123.732   155.691
698.7305   124.391   149.962
710.4492   125.016   144.137
722.1680   125.601   138.226
733.8867   126.150   132.240
745.6055   126.663   126.193
757.3242   127.142   120.099
769.0430   127.583   113.970
780.7617   127.986   107.824
792.4805   128.348   101.676
804.1992   128.668    95.542
815.9180   128.946    89.442
827.6367   129.182    83.394
839.3555   129.378    77.418
851.0742   129.530    71.536
862.7930   129.642    65.772
874.5117   129.714    60.152
886.2305   129.747    54.701
897.9492   129.748    49.451
909.6680   129.718    44.430
921.3867   129.659    39.669
933.1055   129.573    35.200
944.8242   129.469    31.050
956.5430   129.356    27.242
968.2617   129.240    23.789
979.9805   129.133    20.690
991.6992   129.045    17.926
1003.418   128.986    15.457
1015.137   128.967    13.221
1026.855   128.994    11.137
1038.574   129.068     9.115
1050.293   129.188     7.061
1062.012   129.348     4.895
1073.730   129.537     2.554
1085.449   129.746    -0.002
1097.168   129.964    -2.790
1108.887   130.179    -5.806
1120.605   130.383    -9.030
1132.324   130.567   -12.430
1144.043   130.725   -15.964
1155.762   130.853   -19.589
1167.480   130.949   -23.254
1179.199   131.012   -26.911
1190.918   131.041   -30.509
1202.637   131.040   -34.000
1214.355   131.010   -37.336
1226.074   130.959   -40.475
1237.793   130.892   -43.381
1249.512   130.818   -46.029
1261.230   130.746   -48.408
1272.949   130.684   -50.524
1284.668   130.646   -52.406
1296.387   130.641   -54.105
1308.105   130.677   -55.691
1319.824   130.756   -57.246
1331.543   130.878   -58.855
1343.262   131.035   -60.597
1354.980   131.221   -62.535
1366.699   131.426   -64.708
1378.418   131.639   -67.136
1390.137   131.850   -69.819
1401.855   132.050   -72.739
1413.574   132.230   -75.867
1425.293   132.384   -79.167
1437.012   132.507   -82.594
1448.730   132.596   -86.103
1460.449   132.648   -89.647
1472.168   132.663   -93.177
1483.887   132.640   -96.643
1495.605   132.583   -99.996
1507.324   132.493  -103.190
1519.043   132.374  -106.178
1530.762   132.235  -108.918
1542.480   132.081  -111.376
1554.199   131.923  -113.527
1565.918   131.772  -115.363
1577.637   131.640  -116.893
1589.355   131.537  -118.151
1601.074   131.475  -119.192
1612.793   131.460  -120.095
1624.512   131.496  -120.947
1636.230   131.580  -121.838
1647.949   131.708  -122.849
1659.668   131.871  -124.042
1671.387   132.060  -125.457
1683.105   132.263  -127.110
1694.824   132.471  -128.997
1706.543   132.675  -131.099
1718.262   132.869  -133.386
1729.980   133.046  -135.820
1741.699   133.204  -138.361
1753.418   133.341  -140.970
1765.137   133.458  -143.608
1776.855   133.555  -146.238
1788.574   133.635  -148.830
1800.293   133.700  -151.359
1812.012   133.756  -153.805
1823.730   133.808  -156.158
1835.449   133.859  -158.417
1847.168   133.915  -160.588
1858.887   133.980  -162.689
1870.605   134.058  -164.743
1882.324   134.151  -166.781
