* Source file = tweeter no filter.pir
* Impulse length = 65536
* Sample rate = 48000
* Scale type = Pa
* Left window = 0 ms, Rectangular
* Reference time = 2,5 ms
* Right window = 5,021 ms, Tukey 0.25
* FFT length = 32768
* Smoothing = None
* Calibration = MM1CDU_allein_00d.txt
* Scale = 0.0 dB
* (fixture: every 8th point of the ARTA export, KOAN test-filter session 15 Aug 2026)
Freq[Hz]     dBSPL  Phase[Deg]
30.76172    85.805    50.426
42.48047    86.508    48.025
54.19922    86.742    42.708
65.91797    86.105    34.719
77.63672    84.153    21.901
89.35547    80.153    -7.582
101.0742    79.956   -83.904
112.7930    87.133  -124.427
124.5117    92.433  -140.283
136.2305    96.225  -150.359
147.9492    99.243  -158.397
159.6680   101.829  -165.480
171.3867   104.044  -172.023
183.1055   105.983  -178.209
194.8242   107.659   175.875
206.5430   109.132   170.187
218.2617   110.444   164.708
229.9805   111.622   159.437
241.6992   112.674   154.379
253.4180   113.600   149.549
265.1367   114.416   144.961
276.8555   115.193   140.638
288.5742   115.922   136.597
300.2930   116.601   132.858
312.0117   117.229   129.434
323.7305   117.809   126.331
335.4492   118.362   123.541
347.1680   118.906   121.045
358.8867   119.454   118.801
370.6055   120.016   116.753
382.3242   120.597   114.828
394.0430   121.201   112.945
405.7617   121.835   111.021
417.4805   122.494   108.981
429.1992   123.170   106.765
440.9180   123.854   104.331
452.6367   124.542   101.656
464.3555   125.224    98.734
476.0742   125.886    95.575
487.7930   126.518    92.196
499.5117   127.123    88.624
511.2305   127.694    84.890
522.9492   128.231    81.025
534.6680   128.737    77.064
546.3867   129.215    73.038
558.1055   129.659    68.979
569.8242   130.071    64.917
581.5430   130.452    60.878
593.2617   130.803    56.887
604.9805   131.130    52.964
616.6992   131.434    49.128
628.4180   131.719    45.389
640.1367   131.994    41.755
651.8555   132.259    38.226
663.5742   132.519    34.795
675.2930   132.771    31.449
687.0117   133.023    28.170
698.7305   133.278    24.934
710.4492   133.535    21.712
722.1680   133.791    18.476
733.8867   134.051    15.199
745.6055   134.313    11.854
757.3242   134.578     8.424
769.0430   134.839     4.893
780.7617   135.091     1.254
792.4805   135.330    -2.492
804.1992   135.549    -6.340
815.9180   135.746   -10.277
827.6367   135.918   -14.286
839.3555   136.062   -18.346
851.0742   136.173   -22.430
862.7930   136.251   -26.510
874.5117   136.296   -30.553
886.2305   136.307   -34.524
897.9492   136.288   -38.385
909.6680   136.240   -42.098
921.3867   136.163   -45.621
933.1055   136.061   -48.915
944.8242   135.940   -51.942
956.5430   135.809   -54.670
968.2617   135.676   -57.079
979.9805   135.552   -59.160
991.6992   135.449   -60.929
1003.418   135.379   -62.424
1015.137   135.353   -63.711
1026.855   135.377   -64.875
1038.574   135.453   -66.017
1050.293   135.580   -67.236
1062.012   135.750   -68.620
1073.730   135.952   -70.236
1085.449   136.174   -72.124
1097.168   136.405   -74.296
1108.887   136.632   -76.745
1120.605   136.845   -79.444
1132.324   137.036   -82.356
1144.043   137.198   -85.434
1155.762   137.327   -88.627
1167.480   137.421   -91.884
1179.199   137.479   -95.149
1190.918   137.501   -98.370
1202.637   137.489  -101.495
1214.355   137.448  -104.472
1226.074   137.383  -107.257
1237.793   137.300  -109.811
1249.512   137.208  -112.106
1261.230   137.118  -114.128
1272.949   137.038  -115.884
1284.668   136.981  -117.402
1296.387   136.960  -118.735
1308.105   136.980  -119.955
1319.824   137.046  -121.150
1331.543   137.156  -122.409
1343.262   137.303  -123.815
1354.980   137.479  -125.432
1366.699   137.675  -127.302
1378.418   137.879  -129.444
1390.137   138.081  -131.856
1401.855   138.270  -134.520
1413.574   138.438  -137.403
1425.293   138.579  -140.465
1437.012   138.688  -143.663
1448.730   138.761  -146.948
1460.449   138.796  -150.270
1472.168   138.793  -153.579
1483.887   138.752  -156.824
1495.605   138.674  -159.955
1507.324   138.564  -162.922
1519.043   138.424  -165.678
1530.762   138.264  -168.182
1542.480   138.090  -170.397
1554.199   137.913  -172.300
1565.918   137.743  -173.883
1577.637   137.594  -175.159
1589.355   137.477  -176.163
1601.074   137.403  -176.958
1612.793   137.377  -177.625
1624.512   137.403  -178.255
1636.230   137.479  -178.942
1647.949   137.599  -179.765
1659.668   137.753   179.214
1671.387   137.931   177.960
1683.105   138.122   176.459
1694.824   138.316   174.720
1706.543   138.506   172.764
1718.262   138.683   170.624
1729.980   138.843   168.340
1741.699   138.984   165.951
1753.418   139.104   163.500
1765.137   139.203   161.024
1776.855   139.284   158.559
1788.574   139.347   156.135
1800.293   139.398   153.775
1812.012   139.440   151.497
1823.730   139.479   149.307
1835.449   139.519   147.205
1847.168   139.565   145.181
1858.887   139.621   143.215
1870.605   139.690   141.284
1882.324   139.774   139.354
1894.043   139.874   137.395
1905.762   139.989   135.373
1917.480   140.115   133.260
1929.199   140.248   131.035
1940.918   140.385   128.682
1952.637   140.519   126.194
1964.355   140.648   123.574
1976.074   140.765   120.828
1987.793   140.867   117.971
1999.512   140.950   115.023
2011.230   141.013   112.007
2022.949   141.052   108.950
2034.668   141.066   105.882
2046.387   141.054   102.834
2058.105   141.016    99.838
2069.824   140.953    96.928
2081.543   140.868    94.137
2093.262   140.763    91.495
2104.980   140.645    89.031
2116.699   140.517    86.770
2128.418   140.388    84.726
2140.137   140.265    82.907
2151.855   140.154    81.306
2163.574   140.064    79.901
2175.293   140.002    78.655
2187.012   139.972    77.518
2198.730   139.979    76.430
2210.449   140.022    75.326
2222.168   140.098    74.146
2233.887   140.204    72.837
2245.605   140.331    71.360
2257.324   140.472    69.695
2269.043   140.619    67.833
2280.762   140.764    65.782
2292.480   140.901    63.560
2304.199   141.023    61.194
2315.918   141.128    58.715
2327.637   141.213    56.160
2339.355   141.276    53.565
2351.074   141.317    50.965
2362.793   141.337    48.396
2374.512   141.339    45.887
2386.230   141.325    43.464
2397.949   141.299    41.145
2409.668   141.269    38.941
2421.387   141.239    36.853
2433.105   141.216    34.869
2444.824   141.203    32.970
2456.543   141.204    31.127
2468.262   141.222    29.304
2479.980   141.257    27.463
2491.699   141.306    25.566
2503.418   141.366    23.583
2515.137   141.432    21.488
2526.855   141.499    19.269
2538.574   141.559    16.922
2550.293   141.609    14.457
2562.012   141.644    11.890
2573.730   141.659     9.247
2585.449   141.650     6.562
