Freq[Hz]     dBSPL  Phase[Deg]
5.00000    104.440   -11.434
5.07273    104.442   -11.599
5.14651    104.444   -11.764
5.22137    104.446   -11.930
5.29732    104.448   -12.095
5.37437    104.450   -12.260
5.45254    104.452   -12.426
5.53185    104.454   -12.591
5.61231    104.456   -12.756
5.69394    104.458   -12.922
5.77676    104.460   -13.087
5.86079    104.462   -13.253
5.94604    104.465   -13.465
6.03252    104.468   -13.677
6.12027    104.471   -13.888
6.20929    104.474   -14.100
6.29961    104.478   -14.312
6.39124    104.481   -14.524
6.48420    104.484   -14.736
6.57851    104.487   -14.947
6.67420    104.490   -15.159
6.77128    104.494   -15.371
6.86977    104.497   -15.583
6.96969    104.500   -15.794
7.07107    104.503   -16.006
7.17392    104.506   -16.218
7.27827    104.510   -16.430
7.38413    104.514   -16.667
7.49154    104.518   -16.924
7.60050    104.523   -17.182
7.71105    104.528   -17.439
7.82321    104.532   -17.696
7.93701    104.537   -17.953
8.05245    104.542   -18.210
8.16958    104.547   -18.467
8.28841    104.551   -18.725
8.40896    104.556   -18.982
8.53128    104.561   -19.239
8.65537    104.565   -19.496
8.78126    104.570   -19.753
8.90899    104.577   -20.052
9.03857    104.583   -20.353
9.17004    104.589   -20.655
9.30342    104.596   -20.956
9.43874    104.602   -21.257
9.57603    104.609   -21.559
9.71532    104.615   -21.860
9.85663    104.622   -22.161
10.0000    104.628   -22.463
10.1455    104.635   -22.764
10.2930    104.642   -23.077
10.4427    104.650   -23.421
10.5946    104.659   -23.765
10.7487    104.667   -24.110
10.9051    104.676   -24.454
11.0637    104.684   -24.798
11.2246    104.693   -25.142
11.3879    104.701   -25.487
11.5535    104.710   -25.831
11.7216    104.718   -26.176
11.8921    104.729   -26.562
12.0650    104.740   -26.947
12.2405    104.750   -27.333
12.4186    104.761   -27.719
12.5992    104.772   -28.104
12.7825    104.782   -28.490
12.9684    104.793   -28.876
13.1570    104.804   -29.262
13.3484    104.816   -29.682
13.5426    104.830   -30.107
13.7395    104.843   -30.533
13.9394    104.856   -30.959
14.1421    104.869   -31.384
14.3478    104.882   -31.810
14.5565    104.895   -32.236
14.7683    104.909   -32.683
14.9831    104.925   -33.147
15.2010    104.941   -33.611
15.4221    104.956   -34.075
15.6464    104.972   -34.540
15.8740    104.987   -35.004
16.1049    105.003   -35.468
16.3392    105.021   -35.967
16.5768    105.039   -36.468
16.8179    105.058   -36.969
17.0626    105.076   -37.470
17.3107    105.094   -37.971
17.5625    105.112   -38.472
17.8180    105.133   -39.006
18.0771    105.154   -39.542
18.3401    105.175   -40.078
