Freq[Hz]     dBSPL  Phase[Deg]
5.00000     84.309   174.303
5.07273     84.309   174.220
5.14651     84.308   174.137
5.22137     84.307   174.054
5.29732     84.307   173.971
5.37437     84.306   173.888
5.45254     84.305   173.804
5.53185     84.305   173.721
5.61231     84.304   173.638
5.69394     84.303   173.555
5.77676     84.303   173.472
5.86079     84.302   173.388
5.94604     84.301   173.281
6.03252     84.300   173.174
6.12027     84.299   173.066
6.20929     84.298   172.959
6.29961     84.297   172.852
6.39124     84.296   172.744
6.48420     84.295   172.637
6.57851     84.294   172.529
6.67420     84.293   172.422
6.77128     84.292   172.315
6.86977     84.291   172.207
6.96969     84.289   172.100
7.07107     84.288   171.993
7.17392     84.287   171.885
7.27827     84.286   171.778
7.38413     84.285   171.657
7.49154     84.283   171.525
7.60050     84.282   171.393
7.71105     84.280   171.261
7.82321     84.279   171.130
7.93701     84.277   170.998
8.05245     84.275   170.866
8.16958     84.274   170.734
8.28841     84.272   170.602
8.40896     84.271   170.471
8.53128     84.269   170.339
8.65537     84.267   170.207
8.78126     84.266   170.075
8.90899     84.264   169.920
9.03857     84.261   169.764
9.17004     84.259   169.608
9.30342     84.257   169.451
9.43874     84.255   169.295
9.57603     84.253   169.138
9.71532     84.250   168.982
9.85663     84.248   168.826
10.0000     84.246   168.669
10.1455     84.244   168.513
10.2930     84.241   168.350
10.4427     84.238   168.169
10.5946     84.235   167.988
10.7487     84.232   167.806
10.9051     84.229   167.625
11.0637     84.226   167.444
11.2246     84.224   167.263
11.3879     84.221   167.081
11.5535     84.218   166.900
11.7216     84.215   166.718
11.8921     84.211   166.512
12.0650     84.207   166.306
12.2405     84.203   166.099
12.4186     84.199   165.893
12.5992     84.196   165.686
12.7825     84.192   165.480
12.9684     84.188   165.274
13.1570     84.184   165.067
13.3484     84.180   164.839
13.5426     84.175   164.607
13.7395     84.170   164.375
13.9394     84.165   164.143
14.1421     84.161   163.911
14.3478     84.156   163.680
14.5565     84.151   163.448
14.7683     84.146   163.201
14.9831     84.140   162.943
15.2010     84.134   162.685
15.4221     84.128   162.428
15.6464     84.122   162.170
15.8740     84.117   161.912
16.1049     84.111   161.654
16.3392     84.104   161.371
16.5768     84.097   161.087
16.8179     84.090   160.803
17.0626     84.083   160.519
17.3107     84.076   160.234
17.5625     84.069   159.950
17.8180     84.061   159.641
18.0771     84.052   159.330
18.3401     84.044   159.019
18.6068     84.036   158.708
18.8775     84.028   158.397
19.1521     84.019   158.075
19.4306     84.009   157.736
19.7133     84.000   157.398
20.0000     83.990   157.059
20.2909     83.980   156.721
20.5860     83.970   156.375
20.8855     83.959   156.008
21.1893     83.948   155.642
21.4975     83.937   155.275
21.8102     83.926   154.909
22.1274     83.914   154.528
22.4492     83.901   154.133
22.7758     83.888   153.738
23.1071     83.876   153.342
23.4432     83.863   152.946
23.7841     83.848   152.522
24.1301     83.834   152.097
24.4811     83.820   151.672
24.8372     83.805   151.247
25.1984     83.789   150.797
25.5649     83.773   150.342
25.9368     83.757   149.887
26.3141     83.740   149.432
26.6968     83.723   148.949
27.0851     83.704   148.463
27.4791     83.686   147.976
27.8788     83.668   147.486
28.2843     83.648   146.967
28.6957     83.628   146.448
29.1131     83.607   145.930
29.5365     83.586   145.392
29.9661     83.564   144.840
30.4020     83.541   144.288
30.8442     83.519   143.729
31.2929     83.494   143.142
31.7480     83.470   142.555
32.2098     83.445   141.969
32.6783     83.418   141.347
33.1536     83.392   140.724
33.6359     83.365   140.102
34.1251     83.336   139.446
34.6215     83.307   138.786
35.1250     83.277   138.126
35.6359     83.246   137.430
36.1543     83.214   136.731
36.6802     83.182   136.028
37.2137     83.148   135.288
37.7550     83.114   134.549
38.3041     83.079   133.793
38.8613     83.042   133.012
39.4265     83.005   132.230
40.0000     82.966   131.414
40.5818     82.926   130.589
41.1721     82.886   129.751
41.7710     82.844   128.879
42.3785     82.802   128.007
42.9949     82.757   127.095
43.6203     82.712   126.174
44.2548     82.666   125.229
44.8985     82.618   124.258
45.5515     82.570   123.275
46.2141     82.520   122.251
46.8863     82.469   121.225
47.5683     82.416   120.145
48.2602     82.363   119.064
48.9621     82.308   117.931
49.6743     82.252   116.791
50.3968     82.195   115.601
51.1299     82.137   114.399
51.8736     82.077   113.144
52.6281     82.017   111.877
53.3936     81.955   110.551
54.1702     81.892   109.216
54.9581     81.828   107.811
55.7575     81.764   106.394
56.5685     81.698   104.911
57.3914     81.632   103.403
58.2261     81.565   101.840
59.0730     81.498   100.231
59.9323     81.431    98.585
60.8040     81.364    96.866
61.6884     81.297    95.118
62.5857     81.230    93.296
63.4960     81.164    91.423
64.4196     81.099    89.508
65.3566     81.036    87.501
66.3073     80.975    85.451
67.2717     80.915    83.342
68.2502     80.859    81.145
69.2429     80.806    78.896
70.2501     80.756    76.587
71.2719     80.713    74.182
72.3086     80.674    71.720
73.3603     80.640    69.199
74.4274     80.614    66.590
75.5099     80.595    63.911
76.6083     80.585    61.171
77.7226     80.582    58.371
78.8531     80.592    55.493
80.0000     80.612    52.554
